split,cls,cat,fmt,w,h,bytes
train,real,real,JPEG,512,512,110007
train,real,real,JPEG,1034,1293,155449
train,real,real,JPEG,500,224,21858
train,real,real,JPEG,1080,1080,189379
train,real,real,JPEG,5184,3453,6033636
train,real,real,JPEG,1024,683,209563
train,real,real,JPEG,1440,962,195775
train,real,real,JPEG,1440,958,150954
train,real,real,JPEG,1440,961,103968
train,real,real,JPEG,512,512,68428
train,real,real,JPEG,640,640,41843
train,real,real,JPEG,1080,1080,137436
train,real,real,JPEG,2048,1365,852237
train,real,real,JPEG,1440,960,102323
train,real,real,JPEG,1440,959,246872
train,real,real,JPEG,512,512,82342
train,real,real,JPEG,1440,1440,254626
train,real,real,JPEG,1024,683,92125
train,real,real,JPEG,1200,798,413145
train,real,real,JPEG,1440,960,184140
train,real,real,JPEG,1440,962,73161
train,real,real,JPEG,1000,1250,276322
train,real,real,JPEG,512,512,88314
train,real,real,JPEG,1024,683,258222
train,real,real,JPEG,900,600,290177
train,real,real,JPEG,1024,1024,213265
train,real,real,JPEG,1500,1000,904836
train,real,real,JPEG,500,500,49647
train,real,real,JPEG,1080,1013,64895
train,real,real,JPEG,3500,2264,1891470
train,real,real,JPEG,3744,5616,14399309
train,real,real,JPEG,500,376,31402
train,real,real,JPEG,640,640,82626
train,real,real,JPEG,1024,681,505411
train,real,real,JPEG,500,889,118403
train,real,real,JPEG,1024,683,192851
train,real,real,JPEG,3000,2000,1066743
train,real,real,JPEG,1056,704,183206
train,real,real,JPEG,1024,1024,185013
train,real,real,JPEG,640,640,159139
train,real,real,JPEG,640,640,38101
train,real,real,JPEG,1024,724,331933
train,real,real,JPEG,1800,1200,430163
train,real,real,JPEG,1024,683,180723
train,real,real,JPEG,1024,683,188639
train,real,real,JPEG,1440,961,160883
train,real,real,JPEG,1024,701,265875
train,real,real,JPEG,640,640,84968
train,real,real,JPEG,1080,1080,162264
train,real,real,JPEG,2334,3500,2486809
train,real,real,JPEG,1024,683,271204
train,real,real,JPEG,1200,800,591401
train,real,real,JPEG,1024,1024,443285
train,real,real,JPEG,1200,800,467309
train,real,real,JPEG,1440,960,119065
train,real,real,JPEG,5000,3345,10055126
train,real,real,JPEG,1024,655,173454
train,real,real,JPEG,1000,1000,233546
train,real,real,JPEG,1024,734,632489
train,real,real,JPEG,3008,1688,1452273
train,real,real,JPEG,1440,1535,145553
train,real,real,JPEG,1024,683,243977
train,real,real,JPEG,800,532,58471
train,real,real,JPEG,1024,683,203441
train,real,real,JPEG,1024,683,240911
train,real,real,JPEG,1024,1024,421196
train,real,real,JPEG,1440,960,147748
train,real,real,JPEG,1440,960,108088
train,real,real,JPEG,512,512,114005
train,real,real,JPEG,1024,683,132848
train,real,real,JPEG,1159,1500,673659
train,real,real,JPEG,1080,1349,297437
train,real,real,JPEG,1440,959,233425
train,real,real,JPEG,1024,679,411905
train,real,real,JPEG,1024,683,359537
train,real,real,JPEG,1024,1024,276879
train,real,real,JPEG,5616,3370,12795389
train,real,real,JPEG,500,889,87613
train,real,real,JPEG,1024,678,241685
train,real,real,JPEG,1080,1349,133831
train,real,real,JPEG,1440,965,161035
train,real,real,JPEG,1000,1000,170313
train,real,real,JPEG,1024,1024,232675
train,real,real,JPEG,1024,683,456200
train,real,real,JPEG,1440,960,130993
train,real,real,JPEG,4810,3608,6776701
train,real,real,JPEG,1080,1080,157000
train,real,real,JPEG,512,512,67155
train,real,real,JPEG,3456,2304,3205578
train,real,real,JPEG,1333,1000,299570
train,real,real,JPEG,939,704,262928
train,real,real,JPEG,1080,1080,114116
train,real,real,JPEG,4000,3000,3816643
train,real,real,JPEG,512,512,122269
train,real,real,JPEG,512,512,143403
train,real,real,JPEG,640,359,1244
train,real,real,JPEG,3456,2304,3223837
train,real,real,JPEG,1080,1080,37737
train,real,real,JPEG,1080,1080,206529
train,real,real,JPEG,1440,960,239085
train,real,real,JPEG,1024,683,166620
train,real,real,JPEG,1024,678,206845
train,real,real,JPEG,512,512,77034
train,real,real,JPEG,1440,1440,311679
train,real,real,JPEG,3024,4032,1329972
train,real,real,JPEG,1440,973,65984
train,real,real,JPEG,758,505,74434
train,real,real,JPEG,1024,683,319412
train,real,real,JPEG,2625,3937,1526798
train,real,real,JPEG,1024,682,344658
train,real,real,JPEG,1440,1091,153665
train,real,real,JPEG,500,750,49284
train,real,real,JPEG,1024,683,229709
train,real,real,JPEG,1024,683,129917
train,real,real,JPEG,785,785,178683
train,real,real,JPEG,752,1024,278360
train,real,real,JPEG,1080,718,108546
train,real,real,JPEG,512,512,68926
train,real,real,JPEG,950,633,76766
train,real,real,JPEG,512,512,122260
train,real,real,JPEG,1024,683,191702
train,real,real,JPEG,2912,4368,1483837
train,real,real,JPEG,1440,960,137266
train,real,real,JPEG,1440,960,323598
train,real,real,JPEG,1440,960,179184
train,real,real,JPEG,3500,2265,2596157
train,real,real,JPEG,512,768,464162
train,real,real,JPEG,1200,798,360688
train,real,real,JPEG,512,512,117279
train,real,real,JPEG,1440,988,174471
train,real,real,JPEG,1080,756,64427
train,real,real,JPEG,1024,685,77436
train,real,real,JPEG,1024,678,238166
train,real,real,JPEG,1872,2816,3366546
train,real,real,JPEG,500,333,32216
train,real,real,JPEG,1024,698,322279
train,real,real,JPEG,640,640,132869
train,real,real,JPEG,6144,4096,3690497
train,real,real,JPEG,500,333,22456
train,real,real,JPEG,3648,2736,3718581
train,real,real,JPEG,1440,960,301535
train,real,real,JPEG,960,640,61211
train,real,real,JPEG,1440,961,99419
train,real,real,JPEG,1056,704,239510
train,real,real,JPEG,2705,3500,2512901
train,real,real,JPEG,1024,683,279821
train,real,real,JPEG,1024,724,156065
train,real,real,JPEG,1440,960,65716
train,real,real,JPEG,1000,1500,519941
train,real,real,JPEG,1440,960,222842
train,real,real,JPEG,1440,961,156521
train,real,real,JPEG,1024,684,89635
train,real,real,JPEG,1200,804,629482
train,real,real,JPEG,1440,960,61538
train,real,real,JPEG,2048,1536,238539
train,real,real,JPEG,1024,683,358574
train,real,real,JPEG,512,512,95104
train,real,real,JPEG,858,600,130721
train,real,real,JPEG,1024,475,336405
train,real,real,JPEG,640,640,153870
train,real,real,JPEG,892,1024,320102
train,real,real,JPEG,1440,960,145032
train,real,real,JPEG,735,1024,251052
train,real,real,JPEG,640,640,89920
train,real,real,JPEG,1440,960,234683
train,real,real,JPEG,1500,1000,906067
train,real,real,JPEG,1080,808,175264
train,real,real,JPEG,1024,683,367458
train,real,real,JPEG,848,464,35802
train,real,real,JPEG,1440,960,248178
train,real,real,JPEG,1440,1054,83883
train,real,real,JPEG,1024,683,512633
train,real,real,JPEG,512,512,66324
train,real,real,JPEG,1024,683,434128
train,real,real,JPEG,1440,1067,93111
train,real,real,JPEG,512,512,57323
train,real,real,JPEG,1440,960,76001
train,real,real,JPEG,1224,816,505921
train,real,real,JPEG,1080,1075,327496
train,real,real,JPEG,1024,683,194137
train,real,real,JPEG,1333,1000,136278
train,real,real,JPEG,500,750,30276
train,real,real,JPEG,1440,961,135509
train,real,real,JPEG,1440,960,244293
train,real,real,JPEG,512,512,90327
train,real,real,JPEG,4272,2848,5087672
train,real,real,JPEG,512,512,130338
train,real,real,JPEG,6000,4000,1150034
train,real,real,JPEG,512,512,98436
train,real,real,JPEG,1440,960,191513
train,real,real,JPEG,2333,3500,2514601
train,real,real,JPEG,1440,960,112733
train,real,real,JPEG,512,512,86693
train,real,real,JPEG,1024,683,284665
train,real,real,JPEG,512,512,104259
train,real,real,JPEG,1600,1066,548765
train,real,real,JPEG,8512,5664,25835279
train,real,real,JPEG,2704,3500,3041304
train,real,real,JPEG,1024,683,272718
train,real,real,JPEG,1334,1000,251360
train,real,real,JPEG,500,333,34745
train,real,real,JPEG,1024,683,88080
train,real,real,JPEG,512,512,118923
train,real,real,JPEG,1440,961,68180
train,real,real,JPEG,1074,1074,35402
train,real,real,JPEG,5705,3803,3630535
train,real,real,JPEG,1024,683,272269
train,real,real,JPEG,1024,683,358299
train,real,real,JPEG,1200,812,566972
train,real,real,JPEG,1024,710,70712
train,real,real,JPEG,1024,683,418081
train,real,real,JPEG,512,512,62714
train,real,real,JPEG,1290,2294,137557
train,real,real,JPEG,512,512,96814
train,real,real,JPEG,1024,683,243559
train,real,real,JPEG,1024,576,250607
train,real,real,JPEG,512,512,139782
train,real,real,JPEG,512,512,78606
train,real,real,JPEG,960,960,57172
train,real,real,JPEG,512,512,90060
train,real,real,JPEG,3494,2514,8265435
train,real,real,JPEG,1024,683,366497
train,real,real,JPEG,2333,3500,2143257
train,real,real,JPEG,1500,971,436379
train,real,real,JPEG,1056,704,257788
train,real,real,JPEG,1440,1097,175465
train,real,real,JPEG,1024,683,224256
train,real,real,JPEG,1440,1068,135156
train,real,real,JPEG,1024,683,238530
train,real,real,JPEG,1440,961,179798
train,real,real,JPEG,2333,3500,2467819
train,real,real,JPEG,1440,1156,153131
train,real,real,JPEG,1159,1500,586695
train,real,real,JPEG,1024,683,194267
train,real,real,JPEG,683,1024,233064
train,real,real,JPEG,1024,683,201075
train,real,real,JPEG,2048,3072,915219
train,real,real,JPEG,735,1024,115048
train,real,real,JPEG,3696,2448,2332492
train,real,real,JPEG,1024,683,275300
train,real,real,JPEG,1440,1440,211428
train,real,real,JPEG,1440,961,193409
train,real,real,JPEG,640,640,90976
train,real,real,JPEG,1500,1000,97133
train,real,real,JPEG,1500,1000,780430
train,real,real,JPEG,960,636,97495
train,real,real,JPEG,1440,1486,121151
train,real,real,JPEG,1200,800,604045
train,real,real,JPEG,512,512,172877
train,real,real,JPEG,1440,962,114038
train,real,real,JPEG,1024,683,375940
train,real,real,JPEG,1024,683,286946
train,real,real,JPEG,758,498,74588
train,real,real,JPEG,1024,683,186220
train,real,real,JPEG,1440,960,215895
train,real,real,JPEG,1024,683,240097
train,real,real,JPEG,1440,1078,105517
train,real,real,JPEG,5400,3036,4923439
train,real,real,JPEG,512,512,89970
train,real,real,JPEG,768,768,175814
train,real,real,JPEG,500,625,54317
train,real,real,JPEG,2048,1519,2989089
train,real,real,JPEG,1024,683,140599
train,real,real,JPEG,1024,683,143689
train,real,real,JPEG,1024,683,93729
train,real,real,JPEG,500,889,142248
train,real,real,JPEG,1440,960,172558
train,real,real,JPEG,512,512,124439
train,real,real,JPEG,512,512,105891
train,real,real,JPEG,1000,667,307990
train,real,real,JPEG,724,1024,270580
train,real,real,JPEG,1440,960,273053
train,real,real,JPEG,1080,791,132818
train,real,real,JPEG,1024,678,162432
train,real,real,JPEG,6000,4000,10341184
train,real,real,JPEG,500,771,64827
train,real,real,JPEG,1150,1500,1088190
train,real,real,JPEG,1024,686,302772
train,real,real,JPEG,1440,960,199821
train,real,real,JPEG,500,750,44436
train,real,real,JPEG,1024,682,485202
train,real,real,JPEG,1024,1024,567600
train,real,real,JPEG,2299,1533,1281746
train,real,real,JPEG,1600,1067,390009
train,real,real,JPEG,1600,1079,1174558
train,real,real,JPEG,1080,1078,88679
train,real,real,JPEG,500,333,21635
train,real,real,JPEG,1024,683,200605
train,real,real,JPEG,1024,683,100444
train,real,real,JPEG,1000,666,156646
train,real,real,JPEG,1024,683,231451
train,real,real,JPEG,1024,1024,334824
train,real,real,JPEG,3448,4592,2051969
train,real,real,JPEG,1024,683,384762
train,real,real,JPEG,1440,960,203581
train,real,real,JPEG,512,512,66020
train,real,real,JPEG,1024,683,91554
train,real,real,JPEG,1296,864,749355
train,real,real,JPEG,1024,683,142132
train,real,real,JPEG,1080,748,100787
train,real,real,JPEG,512,768,479588
train,real,real,JPEG,1440,960,260331
train,real,real,JPEG,1440,960,143439
train,real,real,JPEG,1516,1011,741957
train,real,real,JPEG,1024,683,251932
train,real,real,JPEG,2705,3500,1214645
train,real,real,JPEG,1024,683,194845
train,real,real,JPEG,512,512,123339
train,real,real,JPEG,696,1024,290944
train,real,real,JPEG,426,284,32348
train,real,real,JPEG,512,512,109789
train,real,real,JPEG,1024,683,299979
train,real,real,JPEG,512,512,97140
train,real,real,JPEG,1440,1336,55907
train,real,real,JPEG,1440,960,278335
train,real,real,JPEG,1080,1080,97945
train,real,real,JPEG,1159,1500,978970
train,real,real,JPEG,1080,880,77473
train,real,real,JPEG,3456,2304,3231058
train,real,real,JPEG,1440,960,148366
train,real,real,JPEG,1080,811,37378
train,real,real,JPEG,7200,4800,25806378
train,real,real,JPEG,500,333,13292
train,real,real,JPEG,9000,6000,8228476
train,real,real,JPEG,1334,1000,339303
train,real,real,JPEG,731,1024,210697
train,real,real,JPEG,1024,683,147114
train,real,real,JPEG,1440,1074,71161
train,real,real,JPEG,1000,1000,99304
train,real,real,JPEG,1440,960,104535
train,real,real,JPEG,1440,960,309842
train,real,real,JPEG,1440,960,145679
train,real,real,JPEG,1024,797,129912
train,real,real,JPEG,738,1024,306642
train,real,real,JPEG,1024,683,171791
train,real,real,JPEG,1024,576,278434
train,real,real,JPEG,1440,960,107236
train,real,real,JPEG,1024,683,445786
train,real,real,JPEG,512,512,130905
train,real,real,JPEG,1080,860,65602
train,real,real,JPEG,1539,1026,1029658
train,real,real,JPEG,640,640,124593
train,real,real,JPEG,1024,683,367453
train,real,real,JPEG,500,334,24289
train,real,real,JPEG,500,375,33560
train,real,real,JPEG,1024,683,237457
train,real,real,JPEG,6239,4164,10470534
train,real,real,JPEG,640,640,118417
train,real,real,JPEG,1024,732,143281
train,real,real,JPEG,2333,3500,2480828
train,real,real,JPEG,5184,3456,7849045
train,real,real,JPEG,1024,683,211922
train,real,real,JPEG,2048,1365,323864
train,real,real,JPEG,282,373,19560
train,real,real,JPEG,1024,682,183912
train,real,real,JPEG,8192,8192,11946716
train,real,real,JPEG,1024,1024,335395
train,real,real,JPEG,1440,959,64011
train,real,real,JPEG,2968,1956,1951988
train,real,real,JPEG,2479,3718,1487776
train,real,real,JPEG,512,512,72993
train,real,real,JPEG,1024,682,258588
train,real,real,JPEG,1024,683,206076
train,real,real,JPEG,1440,960,118369
train,real,real,JPEG,1440,1440,187613
train,real,real,JPEG,1024,683,121129
train,real,real,JPEG,4897,3264,1272168
train,real,real,JPEG,1600,1065,65406
train,real,real,JPEG,1440,1798,328882
train,real,real,JPEG,1024,683,138175
train,real,real,JPEG,1024,683,237082
train,real,real,JPEG,1440,959,149332
train,real,real,JPEG,1920,2880,1590640
train,real,real,JPEG,512,512,157757
train,real,real,JPEG,4032,1908,2354454
train,real,real,JPEG,1440,990,146382
train,real,real,JPEG,1024,683,229539
train,real,real,JPEG,512,512,96149
train,real,real,JPEG,500,333,21121
train,real,real,JPEG,1024,682,212085
train,real,real,JPEG,1024,683,245542
train,real,real,JPEG,1024,682,154629
train,real,real,JPEG,1024,683,155457
train,real,real,JPEG,750,1024,90844
train,real,real,JPEG,1440,960,189719
train,real,real,JPEG,1024,683,413203
train,real,real,JPEG,640,640,156849
train,real,real,JPEG,1024,683,250008
train,real,real,JPEG,1024,678,257074
train,real,real,JPEG,640,800,47712
train,real,real,JPEG,1159,1500,552752
train,real,real,JPEG,3648,5472,2781976
train,real,real,JPEG,512,512,148992
train,real,real,JPEG,500,326,7425
train,real,real,JPEG,1440,960,139953
train,real,real,JPEG,1024,683,65512
train,real,real,JPEG,1024,683,237689
train,real,real,JPEG,1460,971,1569715
train,real,real,JPEG,512,512,80196
train,real,real,JPEG,1024,1024,392839
train,real,real,JPEG,1498,1000,366859
train,real,real,JPEG,512,512,90514
train,real,real,JPEG,1080,791,109723
train,real,real,JPEG,5686,3791,13049041
train,real,real,JPEG,512,512,73815
train,real,real,JPEG,1024,733,230444
train,real,real,JPEG,1024,683,182394
train,real,real,JPEG,2333,3500,1426360
train,real,real,JPEG,512,512,105547
train,real,real,JPEG,1080,1080,191395
train,real,real,JPEG,1024,683,249656
train,real,real,JPEG,1080,810,232027
train,real,real,JPEG,1024,680,249687
train,real,real,JPEG,1440,960,82536
train,real,real,JPEG,1080,1080,158150
train,real,real,JPEG,512,512,206774
train,real,real,JPEG,512,512,77505
train,real,real,JPEG,1024,683,180963
train,real,real,JPEG,4542,3277,2471329
train,real,real,JPEG,1024,682,295095
train,real,real,JPEG,1024,683,164224
train,real,real,JPEG,1024,682,267391
train,real,real,JPEG,1080,1080,75502
train,real,real,JPEG,1024,768,134355
train,real,real,JPEG,1498,1000,488364
train,real,real,JPEG,1080,1080,82866
train,real,real,JPEG,640,640,107994
train,real,real,JPEG,1024,724,238255
train,real,real,JPEG,640,640,226598
train,real,real,JPEG,1080,831,119993
train,real,real,JPEG,5212,3468,8821625
train,real,real,JPEG,1080,1080,134825
train,real,real,JPEG,1024,683,215154
train,real,real,JPEG,512,512,137182
train,real,real,JPEG,1440,979,181629
train,real,real,JPEG,512,512,70088
train,real,real,JPEG,1600,1067,195408
train,real,real,JPEG,1024,683,250228
train,real,real,JPEG,1500,1000,671926
train,real,real,JPEG,1440,1800,235647
train,real,real,JPEG,512,512,107045
train,real,real,JPEG,1600,1060,234816
train,real,real,JPEG,1440,960,119853
train,real,real,JPEG,1024,683,182535
train,real,real,JPEG,1024,732,246797
train,real,real,JPEG,1024,683,123288
train,real,real,JPEG,1024,683,629743
train,real,real,JPEG,1024,678,215073
train,real,real,JPEG,512,512,47049
train,real,real,JPEG,1159,1500,454933
train,real,real,JPEG,1056,704,223302
train,real,real,JPEG,1024,683,109360
train,real,real,JPEG,500,667,66822
train,real,real,JPEG,1024,683,385415
train,real,real,JPEG,1080,759,97573
train,real,real,JPEG,6000,4122,15463499
train,real,real,JPEG,3840,2160,982250
train,real,real,JPEG,1024,683,129491
train,real,real,JPEG,1080,1080,319220
train,real,real,JPEG,3456,5184,4315455
train,real,real,JPEG,640,640,81335
train,real,real,JPEG,1058,704,434268
train,real,real,JPEG,1440,961,152068
train,real,real,JPEG,1024,682,329717
train,real,real,JPEG,735,1024,178126
train,real,real,JPEG,512,512,46006
train,real,real,JPEG,828,553,169516
train,real,real,JPEG,4160,6240,3527095
train,real,real,JPEG,1056,704,48235
train,real,real,JPEG,1024,683,205493
train,real,real,JPEG,1024,683,440017
train,real,real,JPEG,1159,1500,737971
train,real,real,JPEG,1024,683,95760
train,real,real,JPEG,4803,3202,1271521
train,real,real,JPEG,1024,683,276783
train,real,real,JPEG,735,1024,240825
train,real,real,JPEG,1440,1800,226133
train,real,real,JPEG,1440,990,88091
train,real,real,JPEG,640,640,81403
train,real,real,JPEG,640,640,86946
train,real,real,JPEG,1440,960,148026
train,real,real,JPEG,1024,683,144930
train,real,real,JPEG,512,512,88401
train,real,real,JPEG,512,512,129444
train,real,real,JPEG,1460,971,1268560
train,real,real,JPEG,1440,989,206297
train,real,real,JPEG,800,800,80921
train,real,real,JPEG,640,640,55644
train,real,real,JPEG,1024,683,226668
train,real,real,JPEG,1018,704,265057
train,real,real,JPEG,1000,667,137912
train,ai,normal,JPEG,764,1146,110154
train,ai,War_&_Conflict_Scenes,PNG,1024,1024,1827437
train,ai,normal,PNG,1024,1024,1135027
train,ai,production,PNG,512,512,403271
train,ai,Medical_&_Public_Health,PNG,1024,1024,1318425
train,ai,normal,PNG,256,256,62454
train,ai,normal,PNG,512,512,518371
train,ai,Political_&_Social_Events,PNG,512,512,334544
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,429214
train,ai,Culture_&_Religion,PNG,1024,1024,1444704
train,ai,normal,PNG,1024,1024,1074218
train,ai,production,PNG,512,512,424588
train,ai,normal,PNG,1024,1024,2050974
train,ai,Culture_&_Religion,PNG,512,512,395199
train,ai,normal,PNG,256,256,113232
train,ai,Culture_&_Religion,PNG,1024,1024,1588554
train,ai,normal,JPEG,450,675,31125
train,ai,production,PNG,512,512,381061
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,431151
train,ai,normal,JPEG,764,1146,73803
train,ai,normal,JPEG,764,1146,73039
train,ai,normal,PNG,256,256,90078
train,ai,normal,PNG,256,256,151996
train,ai,normal,PNG,256,256,197109
train,ai,Culture_&_Religion,PNG,512,512,312002
train,ai,Culture_&_Religion,PNG,1024,1024,2164885
train,ai,Culture_&_Religion,PNG,512,512,459701
train,ai,normal,JPEG,764,1146,65171
train,ai,production,PNG,512,512,433492
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,387077
train,ai,normal,JPEG,764,1146,161680
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,432391
train,ai,Medical_&_Public_Health,PNG,1024,1024,1524528
train,ai,normal,PNG,512,512,413711
train,ai,Political_&_Social_Events,PNG,512,512,387681
train,ai,normal,JPEG,764,1151,139553
train,ai,normal,PNG,256,256,197109
train,ai,normal,JPEG,512,768,43232
train,ai,Culture_&_Religion,PNG,1024,1024,1844996
train,ai,normal,PNG,256,256,197109
train,ai,War_&_Conflict_Scenes,PNG,1024,1024,2145365
train,ai,production,PNG,1024,1024,1830799
train,ai,Political_&_Social_Events,PNG,512,512,362179
train,ai,Natural_Disasters_&_Accidents,PNG,1024,1024,2017229
train,ai,normal,PNG,512,512,297947
train,ai,production,PNG,1024,1024,1884489
train,ai,normal,PNG,1024,1024,1637130
train,ai,War_&_Conflict_Scenes,PNG,512,512,361491
train,ai,Culture_&_Religion,PNG,1024,1024,2220949
train,ai,Political_&_Social_Events,PNG,512,512,444440
train,ai,War_&_Conflict_Scenes,PNG,1024,1024,1883036
train,ai,War_&_Conflict_Scenes,PNG,1024,1024,1699528
train,ai,normal,PNG,256,256,69421
train,ai,Culture_&_Religion,PNG,512,512,419182
train,ai,Culture_&_Religion,PNG,1024,1024,1769973
train,ai,normal,JPEG,764,1062,124646
train,ai,Culture_&_Religion,PNG,1024,1024,1547178
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,363291
train,ai,production,PNG,1024,1024,1791713
train,ai,War_&_Conflict_Scenes,PNG,512,512,425245
train,ai,normal,PNG,256,256,197109
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,464877
train,ai,normal,PNG,1024,1024,1273456
train,ai,War_&_Conflict_Scenes,PNG,1024,1024,2171012
train,ai,Culture_&_Religion,PNG,512,512,363053
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,449547
train,ai,production,PNG,1024,1024,1752538
train,ai,normal,PNG,256,256,134193
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,441357
train,ai,War_&_Conflict_Scenes,PNG,512,512,378851
train,ai,Medical_&_Public_Health,PNG,512,512,363928
train,ai,War_&_Conflict_Scenes,PNG,512,512,468648
train,ai,normal,PNG,256,256,197109
train,ai,normal,PNG,512,512,368258
train,ai,normal,PNG,1024,1024,1391890
train,ai,Political_&_Social_Events,PNG,512,512,442000
train,ai,Culture_&_Religion,PNG,512,512,299465
train,ai,normal,JPEG,764,1146,82273
train,ai,Political_&_Social_Events,PNG,512,512,374431
train,ai,normal,PNG,256,256,95777
train,ai,normal,JPEG,1280,1920,420487
train,ai,normal,PNG,256,256,197109
train,ai,Culture_&_Religion,PNG,512,512,325896
train,ai,Natural_Disasters_&_Accidents,PNG,512,512,310079
